monitoreo,familia,especie,nombre_comun,meses_desde_inicio,elevacion_m,coord_x,coord_y,altura_anterior,copa_anterior,fito_Bueno,fito_Malo,fito_Regular,gremio_Inicial,gremio_Intermedia,gremio_Tardía,loc_Guayabal,loc_San Antonio,loc_Tres Jotas,altura_actual,copa_actual
4,1,17,2,18,2814,4736192.244342,2199830.853675,1.52,0.95,1,0,0,1,0,0,1,0,0,2.38,1.0
2,1,27,5,6,2814,4736190.126772,2199830.806282,0.24,0.04,0,0,1,1,0,0,1,0,0,0.43,0.2799999999999999
3,1,27,5,12,2814,4736190.126772,2199830.806282,0.43,0.28,1,0,0,1,0,0,1,0,0,0.6,0.45
4,1,27,5,18,2814,4736190.126772,2199830.806282,0.6,0.45,1,0,0,1,0,0,1,0,0,0.7,0.5
2,1,17,2,6,2814,4736189.13131,2199828.955361,0.2,0.14,0,0,1,1,0,0,1,0,0,0.8,0.53
3,1,17,2,12,2814,4736189.13131,2199828.955361,0.8,0.53,1,0,0,1,0,0,1,0,0,1.82,0.8299999999999998
4,1,17,2,18,2814,4736189.13131,2199828.955361,1.82,0.83,1,0,0,1,0,0,1,0,0,1.99,0.9
2,1,27,5,6,2814,4736187.894753,2199827.544294,0.21,0.16,1,0,0,1,0,0,1,0,0,0.78,0.5
3,1,27,5,12,2814,4736187.894753,2199827.544294,0.78,0.5,1,0,0,1,0,0,1,0,0,1.29,1.5
4,1,27,5,18,2814,4736187.894753,2199827.544294,1.29,1.5,1,0,0,1,0,0,1,0,0,1.78,1.68
2,1,17,2,6,2814,4736185.925766,2199827.048834,0.2,0.15,1,0,0,1,0,0,1,0,0,0.54,0.4399999999999999
3,1,17,2,12,2814,4736185.925766,2199827.048834,0.54,0.44,1,0,0,1,0,0,1,0,0,0.8,0.52
4,1,17,2,18,2814,4736185.925766,2199827.048834,0.8,0.52,1,0,0,1,0,0,1,0,0,0.93,0.58
2,1,27,5,6,2814,4736184.410576,2199826.123705,0.24,0.12,0,0,1,1,0,0,1,0,0,0.62,0.36
3,1,27,5,12,2814,4736184.410576,2199826.123705,0.62,0.36,0,0,1,1,0,0,1,0,0,1.18,0.75
4,1,27,5,18,2814,4736184.410576,2199826.123705,1.18,0.75,1,0,0,1,0,0,1,0,0,1.6,0.98
2,1,17,2,6,2814,4736182.319801,2199826.247001,0.22,0.15,1,0,0,1,0,0,1,0,0,0.63,0.4
3,1,17,2,12,2814,4736182.319801,2199826.247001,0.63,0.4,1,0,0,1,0,0,1,0,0,1.2,0.67
4,1,17,2,18,2814,4736182.319801,2199826.247001,1.2,0.67,1,0,0,1,0,0,1,0,0,1.27,0.67
2,1,27,5,6,2814,4736180.633428,2199825.964908,0.22,0.14,0,0,1,1,0,0,1,0,0,0.77,0.29
3,1,27,5,12,2814,4736180.633428,2199825.964908,0.77,0.29,1,0,0,1,0,0,1,0,0,1.29,0.7
4,1,27,5,18,2814,4736180.633428,2199825.964908,1.29,0.7,1,0,0,1,0,0,1,0,0,1.5,0.9
2,8,24,1,6,2814,4736205.462461,2199828.307854,0.22,0.13,1,0,0,0,0,1,1,0,0,0.23,0.16
3,8,24,1,12,2814,4736205.462461,2199828.307854,0.23,0.16,1,0,0,0,0,1,1,0,0,0.28,0.24
4,8,24,1,18,2814,4736205.462461,2199828.307854,0.28,0.24,1,0,0,0,0,1,1,0,0,0.44,0.28
2,14,15,19,6,2814,4736178.457968,2199825.701686,0.26,0.16,1,0,0,1,0,0,1,0,0,0.4,0.18
3,14,15,19,12,2814,4736178.457968,2199825.701686,0.4,0.18,1,0,0,1,0,0,1,0,0,0.62,0.3299999999999999
4,14,15,19,18,2814,4736178.457968,2199825.701686,0.62,0.33,1,0,0,1,0,0,1,0,0,0.8,0.4
2,1,27,5,6,2814,4736176.324982,2199825.387577,0.21,0.14,0,1,0,1,0,0,1,0,0,0.5200000000000001,0.3
3,1,27,5,12,2814,4736176.324982,2199825.387577,0.52,0.3,1,0,0,1,0,0,1,0,0,0.95,0.8500000000000001
4,1,27,5,18,2814,4736176.324982,2199825.387577,0.95,0.85,1,0,0,1,0,0,1,0,0,1.1,1.0
2,1,17,2,6,2814,4736174.374456,2199825.146334,0.24,0.1,1,0,0,1,0,0,1,0,0,0.33,0.26
3,1,17,2,12,2814,4736174.374456,2199825.146334,0.33,0.26,1,0,0,1,0,0,1,0,0,0.5,0.56
4,1,17,2,18,2814,4736174.374456,2199825.146334,0.5,0.56,1,0,0,1,0,0,1,0,0,0.62,0.56
2,14,15,19,6,2814,4736172.207222,2199825.231019,0.23,0.16,1,0,0,1,0,0,1,0,0,0.4,0.18
3,14,15,19,12,2814,4736172.207222,2199825.231019,0.4,0.18,1,0,0,1,0,0,1,0,0,0.52,0.42
4,14,15,19,18,2814,4736172.207222,2199825.231019,0.52,0.42,1,0,0,1,0,0,1,0,0,0.79,0.6
2,13,11,21,6,2814,4736170.331049,2199825.006928,0.21,0.13,0,0,1,1,0,0,1,0,0,0.3,0.18
3,13,11,21,12,2814,4736170.331049,2199825.006928,0.3,0.18,1,0,0,1,0,0,1,0,0,0.35,0.27
4,13,11,21,18,2814,4736170.331049,2199825.006928,0.35,0.27,1,0,0,1,0,0,1,0,0,0.47,0.44
2,2,6,18,6,2814,4736167.976104,2199825.113571,0.22,0.1,1,0,0,1,0,0,1,0,0,0.39,0.14
3,2,6,18,12,2814,4736167.976104,2199825.113571,0.39,0.14,1,0,0,1,0,0,1,0,0,0.4,0.2
4,2,6,18,18,2814,4736167.976104,2199825.113571,0.4,0.2,1,0,0,1,0,0,1,0,0,0.4,0.29
2,1,17,2,6,2814,4736165.76749,2199825.064238,0.2,0.14,1,0,0,1,0,0,1,0,0,0.5799999999999998,0.35
3,1,17,2,12,2814,4736165.76749,2199825.064238,0.58,0.35,1,0,0,1,0,0,1,0,0,1.2,0.8
4,1,17,2,18,2814,4736165.76749,2199825.064238,1.2,0.8,1,0,0,1,0,0,1,0,0,1.4,0.95
2,14,15,19,6,2814,4736163.951288,2199825.295016,0.2,0.12,1,0,0,1,0,0,1,0,0,0.23,0.13
3,14,15,19,12,2814,4736163.951288,2199825.295016,0.23,0.13,1,0,0,1,0,0,1,0,0,0.32,0.2
4,14,15,19,18,2814,4736163.951288,2199825.295016,0.32,0.2,1,0,0,1,0,0,1,0,0,0.63,0.39
2,1,17,2,6,2814,4736162.026917,2199825.598349,0.24,0.13,0,0,1,1,0,0,1,0,0,0.6,0.2
3,1,17,2,12,2814,4736162.026917,2199825.598349,0.6,0.2,1,0,0,1,0,0,1,0,0,0.8,0.54
4,1,17,2,18,2814,4736162.026917,2199825.598349,0.8,0.54,1,0,0,1,0,0,1,0,0,1.02,0.65
2,14,15,19,6,2814,4736160.471383,2199824.97808,0.2,0.15,1,0,0,1,0,0,1,0,0,0.31,0.15
3,14,15,19,12,2814,4736160.471383,2199824.97808,0.31,0.15,1,0,0,1,0,0,1,0,0,0.6699999999999999,0.31
4,14,15,19,18,2814,4736160.471383,2199824.97808,0.67,0.31,1,0,0,1,0,0,1,0,0,0.84,0.5700000000000001
2,20,23,22,6,2814,4736202.552032,2199828.638496,0.22,0.14,1,0,0,0,0,1,1,0,0,0.28,0.15
3,20,23,22,12,2814,4736202.552032,2199828.638496,0.28,0.15,1,0,0,0,0,1,1,0,0,0.28,0.23
